condition,rt_reject,choice,session
6,0.45481666666501,0,1
3,0.711733333334905,0,1
1,NaN,1,1
7,2.29553333333524,0,1
1,NaN,1,1
8,NaN,1,1
2,0.442783333329771,0,1
8,NaN,1,1
1,0.494766666664873,0,1
6,0.537783333330026,0,1
9,0.66076666666504,0,1
6,1.09071666667023,0,1
8,NaN,1,1
8,NaN,1,1
1,NaN,1,1
7,NaN,1,1
6,0.571766666665098,0,1
3,0.418816666664952,0,1
2,0.745750000000044,0,1
1,NaN,1,1
7,NaN,1,1
4,NaN,1,1
7,NaN,1,1
4,NaN,1,1
8,NaN,1,1
6,0.487766666669813,0,1
3,0.424800000000232,0,1
9,NaN,1,1
6,0.493783333335159,0,1
7,NaN,1,1
4,NaN,1,1
4,NaN,1,1
7,NaN,1,1
7,NaN,1,1
2,0.695766666664895,0,1
3,0.465800000000399,0,1
4,NaN,1,1
9,0.777733333335163,0,1
3,0.476799999999912,0,1
3,0.730749999999716,0,1
3,0.494799999999941,0,1
5,NaN,1,1
2,0.465783333334912,0,1
2,0.44380000000001,0,1
4,NaN,1,1
9,NaN,1,1
9,NaN,1,1
9,0.395799999999781,0,1
6,0.638766666665106,0,1
5,NaN,1,1
8,NaN,1,1
5,NaN,1,1
2,0.416799999999057,0,1
4,NaN,1,1
5,NaN,1,1
9,NaN,1,1
3,0.466799999999239,0,1
1,NaN,1,1
4,NaN,1,1
4,NaN,1,1
8,NaN,1,1
9,NaN,1,1
5,NaN,1,1
8,NaN,1,1
9,0.58576666666977,0,1
1,NaN,1,1
2,0.48674999999912,0,1
7,NaN,1,1
5,NaN,1,1
5,2.82545000000027,0,1
8,NaN,1,1
2,0.442783333329317,0,1
1,NaN,1,1
7,0.770750000000589,0,1
3,0.625766666669733,0,1
2,0.58276666666552,0,1
6,0.571783333334679,0,1
1,0.549766666666073,0,1
5,NaN,1,1
5,NaN,1,1
8,NaN,1,1
9,NaN,1,1
9,0.669766666665055,0,1
7,NaN,1,1
7,NaN,1,1
2,0.48078333333433,0,1
8,NaN,1,1
6,0.374800000000505,0,1
6,NaN,1,1
4,NaN,1,1
2,0.604749999999513,0,1
1,NaN,1,1
8,NaN,1,1
1,NaN,1,1
9,NaN,1,1
1,NaN,1,1
7,NaN,1,1
6,0.461766666669973,0,1
5,NaN,1,1
6,0.44978333333529,0,1
4,NaN,1,1
1,NaN,1,1
4,NaN,1,1
2,0.48878333333505,0,1
3,1.11371666666582,0,1
7,NaN,1,1
1,1.88960000000043,0,1
3,NaN,1,1
7,NaN,1,1
7,NaN,1,1
2,0.496766666664371,0,1
4,NaN,1,1
6,0.47578333333513,0,1
3,0.517766666665011,0,1
3,0.433816666664825,0,1
4,NaN,1,1
5,2.17953333333026,0,1
8,NaN,1,1
4,NaN,1,1
5,NaN,1,1
5,NaN,1,1
2,NaN,1,1
1,NaN,1,1
3,0.539799999999559,0,1
5,NaN,1,1
3,1.53065000000061,0,1
6,0.691749999999956,0,1
7,NaN,1,1
9,0.448800000000119,0,1
8,NaN,1,1
3,0.396783333335406,0,1
7,NaN,1,1
9,NaN,1,1
2,0.474799999999959,0,1
3,0.596766666665644,0,1
9,NaN,1,1
6,0.512783333335392,0,1
6,0.190799999999399,0,1
8,NaN,1,1
9,0.876716666670291,0,1
2,0.509783333330233,0,1
3,0.500783333336585,0,1
2,0.425799999999981,0,1
8,1.89358333333439,0,1
7,0.413783333335232,0,1
2,0.494766666663963,0,1
9,NaN,1,1
1,NaN,1,1
5,NaN,1,1
4,NaN,1,1
5,3.51633333333029,0,1
5,NaN,1,1
4,2.85145000000011,0,1
1,NaN,1,1
6,0.545766666664349,0,1
8,NaN,1,1
9,NaN,1,1
1,NaN,1,1
8,NaN,1,1
4,NaN,1,1
5,NaN,1,1
4,NaN,1,1
6,1.62860000000001,0,1
5,NaN,1,1
1,NaN,1,1
5,NaN,1,1
3,0.418799999999464,0,1
8,0.116833333329851,0,1
7,0.585766666664313,0,1
3,0.249800000001414,0,1
3,0.673733333330347,0,1
1,NaN,1,2
2,NaN,1,2
3,NaN,1,2
5,NaN,1,2
5,NaN,1,2
9,2.12656666666651,0,2
2,NaN,1,2
1,NaN,1,2
5,NaN,1,2
7,NaN,1,2
1,NaN,1,2
3,NaN,1,2
8,NaN,1,2
1,NaN,1,2
1,NaN,1,2
4,NaN,1,2
6,NaN,1,2
9,NaN,1,2
4,2.05056666666644,0,2
2,NaN,1,2
8,NaN,1,2
8,NaN,1,2
7,NaN,1,2
1,NaN,1,2
2,1.41063333333352,0,2
6,NaN,1,2
4,NaN,1,2
2,1.13171666666653,0,2
8,NaN,1,2
5,NaN,1,2
3,0.471799999999973,0,2
6,NaN,1,2
9,NaN,1,2
4,NaN,1,2
3,0.524799999999914,0,2
6,NaN,1,2
5,NaN,1,2
5,NaN,1,2
7,3.29843333333338,0,2
1,NaN,1,2
7,NaN,1,2
6,0.556800000000067,0,2
3,NaN,1,2
8,NaN,1,2
7,NaN,1,2
4,NaN,1,2
3,0.886733333333609,0,2
9,NaN,1,2
6,0.553766666666547,0,2
9,NaN,1,2
4,NaN,1,2
9,NaN,1,2
1,NaN,1,2
9,NaN,1,2
7,NaN,1,2
8,NaN,1,2
3,0.724799999999959,0,2
7,NaN,1,2
4,NaN,1,2
6,0.559799999999996,0,2
5,NaN,1,2
8,NaN,1,2
5,NaN,1,2
4,NaN,1,2
6,0.500766666667005,0,2
4,NaN,1,2
2,0.779750000000377,0,2
3,0.426766666667049,0,2
2,1.53663333333361,0,2
7,NaN,1,2
2,0.529800000000023,0,2
8,NaN,1,2
9,NaN,1,2
5,NaN,1,2
3,0.489783333333662,0,2
2,0.881733333332932,0,2
8,NaN,1,2
6,0.456800000000044,0,2
1,NaN,1,2
9,NaN,1,2
7,NaN,1,2
1,NaN,1,2
7,NaN,1,2
1,NaN,1,2
1,NaN,1,2
5,NaN,1,2
2,0.523766666664869,0,2
1,NaN,1,2
6,NaN,1,2
8,NaN,1,2
1,3.45636666666496,0,2
1,NaN,1,2
7,2.44349999999986,0,2
9,NaN,1,2
4,NaN,1,2
5,2.80446666667012,0,2
6,NaN,1,2
3,NaN,1,2
6,NaN,1,2
9,NaN,1,2
4,NaN,1,2
5,NaN,1,2
6,0.599749999994856,0,2
8,NaN,1,2
7,NaN,1,2
4,NaN,1,2
2,0.581783333334897,0,2
6,0.896733333335305,0,2
9,NaN,1,2
5,NaN,1,2
6,0.461783333335234,0,2
3,0.432800000000043,0,2
4,NaN,1,2
8,NaN,1,2
7,NaN,1,2
7,NaN,1,2
7,NaN,1,2
8,NaN,1,2
8,NaN,1,2
4,NaN,1,2
3,0.437799999999697,0,2
8,NaN,1,2
5,NaN,1,2
2,0.508783333335032,0,2
1,NaN,1,2
2,0.594749999999976,0,2
9,NaN,1,2
9,NaN,1,2
